"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10"
102001,"United States",0,99600,100000,100000,99900,99800,99900,100000,100400,100800,101500,102100,102500,102800,103200,103500,103900,104300,104700,105300,105800,106100,106500,107200,107700,107800,107700,108100,109000,109700,110100,110500,110800,111300,111900,112500,113100,113600,114300,114900,115500,116100,116800,117200,117800,118400,119000,119800,120700,121400,122000,122800,123500,123900,124500,125300,126000,126700,127400,128100,128700,129600,130400,130900,131100,131600,132200,132700,133400,134200,134800,135100,135200,135600,136200,136900,137700,138600,139600,140500,141300,141900,142500,143300,144200,145300,146400,147300,148400,149400,150200,151100,152100,153200,154400,155800,157200,158500,159700,161100,162500,164000,165300,166500,167900,169500,171100,172600,174200,175600,177200,179100,181000,182400,183900,185500,187100,188200,189300,190200,191400,192400,193100,193600,194000,194400,195000,195500,195500,195500,195700,196100,196300,196600,196500,196100,195400,195100,194500,193600,192700,191700,190500,189100,187500,186000,184700,183300,182300,181300,180200,179300,178600,177900,177200,176500,175500,174400,173200,172000,171000,170100,169200,168400,167700,166800,165600,164500,163900,163400,162800,162200,161500,160600,159600,158700,157900,157200,156700,156100,155500,154900,154300,153600,153000,152400,152100,151800,151400,151100,151200,151400,151600,151600,151800,152100,152500,153100,153500,153900,154500,155100,155800,156500,157100,158000,159100,160000,161000,161900,162600,163300,164000,164900,165700,166400,166700,167100,167700,168500,169100,169500,170100,170700,171300,171900,172400,172900,173800,174800,175600,176500,177300,178000,178900,179600,180400,181200,182100,183000,183900,184500,185300,186600,187700,188600,189700,190900,192400,193600,194600,195500,196700,197700,198900,199700,200500,201400,202500,203400
394913,"New York, NY",1,165700,167000,167200,166700,166300,166100,165400,164200,163300,163700,165300,166800,167300,167600,168000,168300,168800,169500,170200,170900,171500,172400,174000,175200,175700,175900,176100,176400,176900,177600,178500,179500,180200,181300,183100,184800,186100,187800,189600,191400,193300,195100,197200,199700,202500,205500,208300,210600,212300,214200,216400,218700,221000,223500,225900,228200,230500,232900,235600,238300,240500,242500,244400,246600,249500,252600,255700,258700,261800,262700,261000,260400,263500,267400,270800,274200,278100,281700,285100,288800,292100,295400,299700,304200,307200,310800,316700,322200,325300,327700,330500,333300,338700,345800,351400,354600,358400,361900,364900,368300,372400,376600,380900,384500,386700,389300,394100,399700,404600,408400,411800,415400,418900,422300,426100,429800,432500,434500,436800,439300,441300,442800,443500,444100,444800,445200,444800,444500,443700,442700,442200,442300,442100,441700,440300,438300,436300,434500,432700,431200,429700,427800,425000,421900,418600,415500,412100,409000,406100,403100,399900,396400,393100,390800,388800,385900,382900,380200,377600,374900,372800,371500,370800,370100,369500,368800,368000,367000,365800,364500,363800,362700,361100,359200,357800,356800,355900,354700,353700,352500,351200,350000,349000,348200,347000,345400,343900,342600,341000,339500,338200,337600,337400,337100,337100,337700,338400,339100,339700,340300,340800,341300,341800,342600,343700,345400,347100,348900,351100,353000,354400,355700,357000,358200,359100,359800,360700,361900,362900,363500,364200,364800,365000,365000,365700,366800,367900,368900,369900,370800,371900,373000,374100,375700,377900,379500,380400,381000,381800,383300,384900,385800,386900,389300,392400,395500,397900,400200,402200,404200,407000,410400,413500,416800,420000,422600,424600,425700,426100
753899,"Los Angeles-Long Beach-Anaheim, CA",2,170600,170400,170100,169900,169900,169900,170000,170200,170800,171800,172900,173500,173800,174000,174200,174600,175200,176100,176900,177900,179300,181000,182600,184100,185600,187100,188500,189700,191200,193300,195500,197300,198900,200200,201900,203800,205300,206700,208400,210000,211200,212400,214000,216000,218000,220300,223000,225500,227700,229900,231800,233800,235800,237600,239300,241200,243500,246000,248500,251200,253600,255800,257800,259700,261800,264100,266600,269100,271900,275200,278600,281600,285200,289600,294400,299400,304600,309700,315000,320500,326000,331200,336200,341100,345800,350100,354200,358900,364700,371100,378000,385500,393500,401500,409600,418900,429600,441300,453700,465200,474700,482600,489400,495100,500200,505100,510900,517800,525400,533000,540800,549600,558900,567600,575000,581800,587300,591700,595200,598000,599800,601300,602900,604000,604000,603200,602300,601100,598900,597300,596700,595700,594000,591500,587300,582400,577400,572100,567000,561000,552800,543700,535100,525200,513400,501800,491500,481800,472400,464400,457500,451400,445300,439400,434000,429600,425800,422300,419500,418100,417500,417300,417300,416800,419800,425200,427600,426400,426500,426400,425000,422300,420000,418200,416700,415900,415700,414500,412300,410200,407500,404700,401800,399000,396400,393600,391100,389400,387400,385600,385100,386000,387800,390800,394400,398100,401500,404900,408300,412300,416400,420300,425300,432700,440600,448600,457100,465100,472000,478600,483700,487200,489800,492000,494900,499000,502000,504100,506300,509400,512500,514900,517100,519200,521000,523300,526400,529500,532300,534700,537400,540600,544000,547000,550300,553700,556400,559100,562400,565600,568800,571800,573600,574900,576700,579700,584200,589300,593200,595900,598400,600900,603100,605400,607600,609500,611700,614100,615800
394463,"Chicago, IL",3,,,,,,,,,,138400,138700,138900,139000,139100,139100,139100,139300,139500,139800,140400,141000,141500,141900,142300,142600,142800,142900,143300,143500,143800,144300,144900,145600,146400,147000,147500,148100,148900,149800,150500,151200,152000,153100,154200,155100,156200,157400,158400,159600,160700,161600,162300,163300,164400,165500,166600,168000,169400,170500,171500,172700,173900,174900,175600,176500,177600,178900,180200,181500,182900,184300,185500,186400,186800,187300,188400,189700,191200,192600,194100,195700,197000,198500,200400,202000,204100,207000,209600,211200,212200,212700,213200,213900,214900,215900,216900,217900,219000,220100,221500,223100,224100,224400,224500,224700,225100,225400,226000,227300,228800,230100,231500,232700,234000,235600,237100,238500,240000,241200,242400,243200,243600,243900,244200,244500,244900,245500,246100,246300,246500,246700,247000,247000,246300,245500,244700,243900,243200,242600,241900,240900,239500,238100,236300,234500,232600,230700,228300,226200,224400,222800,221200,219800,218600,217400,216100,214200,211800,209700,208100,207000,206400,205800,205100,204100,202900,201400,199600,198100,197200,196100,194300,192300,190700,188800,186700,185100,184200,183200,181800,179800,177700,175600,174100,172500,170800,169100,168300,167400,166100,164800,164100,164200,164900,165700,166600,166800,166300,166100,166100,166200,166300,166700,167300,168500,170100,171900,173300,174500,175800,177100,178100,178900,179600,180300,180900,181500,181900,182300,182900,183900,185000,185700,186100,186200,186400,186900,187900,189300,190200,190600,191200,191800,192200,192800,193500,194000,194200,194800,195800,196900,197700,198400,199100,199900,200900,202100,203200,204500,206200,207700,208500,208900,209500,210400,211300,212200,212700,212900
394514,"Dallas-Fort Worth, TX",4,102200,102100,102100,102300,102400,102600,102200,99400,96000,95100,95900,96000,96000,96100,96300,96700,97000,97500,97800,98400,99300,100000,100500,100900,101100,101100,101200,101300,101500,101800,102100,102600,103500,104400,104900,105400,106100,107000,107700,108300,108900,109600,110400,111700,112900,113400,113500,113800,114200,114500,114800,115100,115200,115500,116000,116900,117700,118000,118400,119100,119800,120200,120400,120700,121100,121300,121700,122300,122800,123300,123700,124000,124100,124300,124800,125300,125800,126200,126500,126800,127200,127700,128100,128100,128200,128300,128500,128600,128900,129100,129300,129300,129600,130200,131300,132500,133800,134900,135800,136400,137100,137700,138200,138700,139000,139200,139700,140100,140300,140500,140900,141400,141600,141800,142100,142400,142500,142600,142900,143300,143700,144100,144500,144800,145200,145600,145800,146100,146400,146500,146500,146600,146700,147000,147400,147800,148200,148600,149100,149600,149400,148000,146300,145200,144100,143000,141900,141200,140500,139900,139500,139000,138200,137300,136600,136200,135500,134600,133900,133600,133700,133700,133700,133200,134700,137500,139000,138700,139000,139500,139900,139800,139300,138900,138400,138000,137400,137100,137200,137100,136900,136600,136200,135800,135300,134700,134500,134800,135000,135300,135800,136400,136800,137300,137500,137700,138100,138400,138400,138900,139400,139600,140100,140900,141800,142900,143800,144600,145600,146800,147800,148700,149400,149700,150300,151100,151800,152500,153400,154300,155100,156100,157100,158100,159000,159700,160500,162300,164400,166400,168500,170700,172900,175000,177100,179000,180600,182000,183600,185400,187000,188500,191100,194000,196000,197300,199000,200300,201300,202500,204300,206200,208200,210100,211700,212600,213400,215200,217100
394974,"Philadelphia, PA",5,106300,106200,106300,106400,106200,105900,105900,106100,106200,106500,106800,107100,107100,107100,107000,106900,106900,107100,107200,107400,107800,108200,108700,109000,109400,109600,109600,109500,109500,109700,109800,109900,110200,110700,111400,111900,112200,112500,112900,113400,113800,114300,114800,115200,115600,116100,116600,117300,117900,118500,118900,119500,120400,121200,121800,122400,122900,123500,124300,125000,125800,126700,127700,128600,129400,130000,130800,131700,132700,133800,134900,136100,137300,138400,139400,140700,142200,143900,145400,147000,148700,150300,151900,153300,154800,156400,158100,159900,161500,163000,164800,166700,168500,170100,171800,173500,175400,177500,179700,181900,184200,186600,189100,191400,193800,196100,198300,200600,203000,205500,208200,210900,213400,216000,218300,220600,222300,223600,224700,226100,227400,228600,229500,229900,230300,230600,230500,230200,230000,229900,230000,230400,230500,230300,230200,230400,230300,229800,229200,228800,228300,227500,226700,226000,225000,224200,223500,222700,222100,221400,220400,219300,218000,217000,216300,215800,215000,213800,212600,211900,211500,211300,211200,211100,211600,212200,211900,211300,211500,211500,211100,209600,207800,206100,205000,204300,203700,203300,202800,201800,200400,199400,198300,197400,196600,195900,195100,194200,193500,193100,192800,192400,191900,191400,191000,191000,191400,191700,192000,192300,192700,193000,193200,193500,194100,194700,195200,195600,195600,195700,195800,196000,196200,196500,196800,197000,197100,197500,198200,198800,199200,199500,199600,199500,199400,199200,199100,199400,199900,200600,201600,202500,203200,203800,204200,204500,204500,204500,205100,206200,206900,207400,208100,209100,210500,211700,212600,213600,214300,214400,214700,215300,216200,217000,217200,217300,217600,218300,219000
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132700,132600,132300,131700,131300,130700,130100,129300,128800,128300,128700,129300,130000,130000,129800,129200,128400,127500,127000,126500,126000,125600,126200,127100,127900,127900,127800,127700,127600,127700,127700,127600,127800,127900,128800,129800,131100,132000,133000,133900,134800,135700,136600,137300,138300,139200,140800,142400,143900,144600,145200,145900,146500,147400,148300,149200,150500,151400,153000,154700,156200,157300,158100,158900,159800,160800,162100,163000,164400,165100,166400,167700,169300,170300,171400,172000,173100,173900,174800,175300,175900,176000,175600,175200,174600,174400,176100,178700,181000,182200,182300,183300
395209,"Washington, DC",7,154200,154200,154400,154500,154200,154100,154200,154600,154700,155000,155500,155800,155900,155000,153300,152200,152300,152400,152400,152900,153500,154100,154800,155200,155400,155600,155800,155900,156000,156100,156400,156700,157100,157900,158800,159500,159900,160500,161500,162500,163500,164700,165500,166100,167400,168900,170300,171400,172600,174200,175700,177000,178100,179300,180800,182400,184000,185800,187800,189700,191900,194100,196400,198900,201400,203600,205800,208100,210300,212800,215500,218300,221200,224300,227600,230900,234100,237700,241100,244500,248100,251600,254700,257600,260300,263200,266000,268900,272000,275600,279300,283100,286800,290800,295500,300600,306000,311900,318300,325300,332200,338900,345600,352200,358700,364700,370600,377300,384400,391100,397500,403800,409400,414000,418200,421900,424300,425500,426400,427300,427600,427300,426200,424500,422800,421000,419400,418200,416600,414700,413700,413200,412300,411100,409200,406300,403000,399700,396500,393100,388200,382500,376600,370900,365300,359900,354700,350300,346600,342900,339200,335500,331400,328000,325800,323900,321600,319100,316600,314800,313600,313000,312700,311700,314500,320000,322600,321400,321100,320800,320300,319400,318300,316900,315400,314700,313900,312600,311600,311000,310300,310200,310400,310400,310200,310400,310500,310600,310600,310200,309900,310700,311600,312400,313500,315400,317200,318800,320500,322200,323300,323800,325200,327700,330400,333400,336800,339800,342500,344800,346300,347500,348300,349000,349900,350900,352100,353500,354900,355800,356000,355800,356400,357300,357700,357800,358600,360000,361300,362400,363600,364400,364900,365300,365900,367000,367400,367300,367500,368500,369500,370500,371100,371400,372100,373600,375700,378000,379600,381000,382100,382700,382400,381900,381300,381400,382900,384300,384700
394856,"Miami-Fort Lauderdale, FL",8,93500,93200,92800,92500,92500,92600,92700,92800,93300,93800,94200,94700,95000,95300,95600,96000,96300,96700,97100,97200,97200,97500,98100,98500,98800,99300,99600,99600,99700,99800,100000,100600,101100,101600,102000,102600,103000,103400,103700,104300,104900,105500,105900,106500,107200,108000,108700,109300,109900,110800,111800,112700,113600,114400,115100,115900,116800,117900,118900,120100,121500,123000,124500,125800,127000,128500,130000,131400,132700,134300,136100,137600,138800,140000,141700,143600,145400,147200,149200,151100,153100,154900,156700,158400,160400,162100,163900,165700,167700,169600,171600,173900,176400,179000,181700,184800,188300,192300,196200,200400,204900,209700,214600,219600,224500,229600,235300,241600,248100,254600,261200,268000,274400,280100,285300,290100,293700,296100,298300,301100,303500,304800,305000,305200,305200,304500,303800,303200,301700,300000,298600,297100,294600,291600,288500,285200,282000,278700,275100,271600,267100,261400,255100,248700,242300,236300,230900,225500,219400,213000,206900,200600,194900,190500,186200,180900,175800,171900,168700,165700,163200,161800,160600,159200,159500,160700,160000,157600,156000,154600,153200,151600,149900,148200,146600,145300,143700,142100,141600,142300,142700,142500,141700,140800,140500,140200,139400,138800,139000,139300,140100,141300,142500,143500,144700,146000,147100,147900,148900,150600,152100,153300,154700,156800,159100,161100,162800,164200,165700,167700,169900,172100,173900,175500,177100,178700,180300,182400,184300,186400,188900,191600,194500,197200,199100,201000,203000,205300,207800,210400,213100,215900,218200,220400,222500,224700,226100,226800,227500,229000,230500,231800,234400,237700,239600,240800,242800,244800,246300,247400,248300,249100,250000,251200,252500,253700,255500,257500,259200
394347,"Atlanta, GA",9,106700,107000,107000,107000,106900,106900,107100,107500,107900,108300,108700,109100,109400,109900,110600,111300,112000,112500,113000,113500,114100,114700,115300,115900,116600,117200,117600,118000,118600,119400,120200,120800,121400,122200,123200,123900,124400,125300,126300,127100,128100,129000,129900,130700,131500,132600,133600,134400,135100,135900,136800,137700,138400,139100,139900,140700,141300,141800,142500,143300,143900,144400,145000,145500,146100,146700,147200,147800,148300,148600,149000,149500,149900,150300,150700,151200,151700,152000,152300,152700,153000,153500,153800,154100,154400,154900,155300,155600,155800,156000,156400,156800,157300,157700,158200,158700,159000,159200,159400,159800,160200,160900,161400,161800,162300,163000,163700,164300,164900,165400,165900,166500,167000,167400,168100,168900,169500,169900,170400,170900,171300,171800,172400,172800,173300,173700,174100,174400,174300,173600,172800,172700,173100,173300,173000,172700,172800,172800,172600,172200,171600,170800,169800,168700,167500,165900,164400,163100,161400,159600,157800,155800,154100,153400,152800,151900,150400,149000,147700,146900,146400,145700,145000,144200,144600,145400,145300,144300,143600,143100,142200,140700,138900,137200,135700,134300,132400,130100,128200,126800,125600,124400,123500,122300,121000,120100,119100,118200,117600,117400,117000,116700,116500,116700,117200,117900,118300,118700,119500,120400,121300,122100,123100,124000,125100,126500,127900,129500,131400,133200,134900,136300,137200,137700,138400,139400,140600,141600,142500,143200,144000,144800,145600,146500,147200,147700,149000,150600,152000,153000,154200,155500,156700,158000,159200,160400,161500,162100,163000,164200,165200,165900,166500,167200,168100,169400,170800,172200,173400,174400,175100,175800,176700,177600,178400,179400,180800,181800,182200
